count,detect_count,time,response,tag_velK,anzenK,uv_velK,bbox_lefttop_x,bbox_lefttop_y,bbox_rightbottom_x,bbox_rightbottom_y,pure_bbox_lefttop_x,pure_bbox_lefttop_y,pure_bbox_rightbottom_x,pure_bbox_rightbottom_y,episode,reward
132,130,11.363916873931885,0.10372114181518555,1.0,1.6158973429220826,99.80954605507662,0.0,100.3555244559378,312.6160409522456,381.0729876089375,236.271711955494,211.62224045165252,294.64122649574836,269.80627161322275,3,-328.31392057839463
1,1,0.021614551544189453,0.021721839904785156,1.0,1.6158973429220826,99.80954605507662,0.0,176.23233099422174,311.0515226295786,305.1717443427027,235.09762747289057,211.7353771202632,293.1686334794519,269.66869821666126,4,0.0
2,2,0.12810993194580078,0.10649943351745605,1.0,1.6158973429220826,99.80954605507662,0.0,123.08101319819652,303.28305759940736,358.22654521281123,226.75029510826445,211.43752850160837,285.2638776066144,269.87002990939936,4,0.0
3,3,0.20363712310791016,0.07553601264953613,1.0,1.6158973429220826,99.80954605507662,0.0,187.54084025709705,301.7992365516353,293.77505495013565,224.89053110670645,211.53545403185854,283.69154304475,269.78044117537416,4,0.0
4,4,0.2511305809020996,0.04745173454284668,1.0,1.6158973429220826,99.80954605507662,0.0,134.66423432537027,293.5180324007713,346.57198198324613,216.02460162563784,211.21976214432885,275.2726688212485,270.01645416428755,4,0.0
5,5,0.2763328552246094,0.02516961097717285,1.0,1.6158973429220826,99.80954605507662,0.0,155.05417367364856,291.4371665365673,326.13058295750074,213.9039288128736,211.09582630323644,273.18243064971205,270.08893032791286,4,0.0
6,6,0.3148059844970703,0.0385434627532959,1.0,1.6158973429220826,99.80954605507662,0.0,150.09170766280928,289.36175980557806,331.1507738429468,211.6763958547313,211.00032650184568,271.0712067107785,270.24215500391045,4,0.0
7,7,0.4744255542755127,0.15959930419921875,1.0,1.6158973429220826,99.80954605507662,0.0,0.0,270.08650404238125,661.6865258698951,190.75920411940973,210.43700889890317,251.40936696896495,270.30617672769245,4,0.0
8,7,0.5364322662353516,0.062000274658203125,1.0,1.6158973429220826,99.80954605507662,0,0,1280,720,0,0,0,0,4,0.0
9,7,0.7021255493164062,0.1656796932220459,1.0,1.6158973429220826,99.80954605507662,0,0,1280,720,0,0,0,0,4,0.0
10,8,0.9027414321899414,0.2006368637084961,1.0,1.6158973429220826,99.80954605507662,956.0308625673744,233.90495605727264,1280.0,720.0,962.9639569164606,240.69696398438742,985.4777554537054,262.7526133719641,4,0.0
11,9,0.9661269187927246,0.06340169906616211,1.0,1.6158973429220826,99.80954605507662,956.1997869262218,233.66875232525535,1280.0,720.0,963.115785815975,240.46185298781324,985.5740703636588,262.5210508090881,4,0.0
12,10,1.0557615756988525,0.08962893486022949,1.0,1.6158973429220826,99.80954605507662,956.2758529733303,233.60132260902247,1280.0,720.0,963.1409720164639,240.42803442082828,985.4340347225394,262.5963775392348,4,0.0
13,11,1.158308506011963,0.10249781608581543,1.0,1.6158973429220826,99.80954605507662,955.1081161886707,0.0,1280.0,720.0,962.092785303058,240.56584643946752,984.7740622874626,262.446648614505,4,0.0
14,12,1.230116844177246,0.07185554504394531,1.0,9.994647299245267,5.505453381028233,854.3528985740978,136.68783558900572,1280.0,366.04545737759094,958.6358517621786,240.3174533724935,981.8236321650481,262.41583959410315,4,0.21215798560048071
15,13,1.344456672668457,0.11434650421142578,1.0,9.994647299245267,5.505453381028233,853.1604873502713,139.7415557673136,1280.0,363.00298524776406,956.8304675142954,240.2204943340308,979.8819506275292,262.5240466810469,4,0.7370341865950203
16,14,1.3929100036621094,0.048436641693115234,1.0,9.994647299245267,5.505453381028233,849.9046859102311,133.2514467242405,1204.5764263113037,369.1371086892691,952.0778068793563,239.94514215309272,974.7964566651458,262.4434132604169,4,1.2765380960918615
17,15,1.481008529663086,0.0881040096282959,1.0,9.994647299245267,5.505453381028233,843.4720539158675,135.42177485214947,1079.2887188241295,366.7900921223286,949.7647767819637,239.8062630974453,972.9959959580333,262.4056038770327,4,1.8874850909803564
18,16,1.6577184200286865,0.1766948699951172,1.0,9.994647299245267,3.505453381028233,781.3486219076908,137.81730592046728,1079.4598524243522,364.3903690226165,946.6255329423641,239.77328196364124,970.7889855509998,262.4343929794425,4,2.8497383535249
19,17,1.709660291671753,0.05193805694580078,1.0,9.994647299245267,5.505453381028233,633.5856506555324,136.14698077031312,1071.5734934050342,366.0695686319879,941.6868752560179,239.62002828957748,965.3141212446967,262.59652111272356,4,3.660426035114517
20,18,1.7979393005371094,0.08823370933532715,1.0,9.994647299245267,5.505453381028233,689.9608162926118,134.93406048893502,1070.4867473637953,367.30280193284966,940.246711617863,239.52619883751512,963.9382466350658,262.7106635842696,4,4.199505943405701
21,19,1.8739657402038574,0.07610201835632324,1.0,9.994647299245267,5.505453381028233,633.0131221343199,132.97459116557133,1068.9601136964213,369.11246822771506,936.1639354325184,239.4690861986727,960.3204498980654,262.6179731946137,4,4.820701458052246
22,20,1.9139912128448486,0.04003119468688965,1.0,9.994647299245267,5.505453381028233,744.4137549411163,134.4509469575953,1064.7971563440026,367.62826741663054,935.8519135185954,239.38708584075835,959.307917029369,262.6921285334675,4,5.363908067629364
23,21,1.9590284824371338,0.04503941535949707,1.0,9.994647299245267,5.505453381028233,774.5953252931671,133.99396856690882,1119.2094628331574,367.97956371099735,935.1105588253907,239.44913353290178,958.6942293009339,262.52439874500436,4,6.095632582960809
24,22,1.9935505390167236,0.03451085090637207,1.0,9.994647299245267,5.505453381028233,716.7186428179645,132.20607563548705,1063.643094716062,369.67145241838125,931.6610530987634,239.2141445959835,955.6694706541602,262.6633834578848,4,6.770527080602395
25,23,2.0787200927734375,0.08517336845397949,1.0,9.994647299245267,5.505453381028233,696.5578576808927,131.4667974151177,1059.8711460222628,370.50179135802244,928.9352606992884,239.1742416262025,952.7533754162494,262.79434714693764,4,7.45389892019589
26,24,2.184587001800537,0.10587072372436523,1.0,9.994647299245267,5.505453381028233,732.450763938844,129.85452463350316,1059.4443931102217,372.2582634407781,927.2019326168372,239.16583511148144,951.2577221104143,262.9469529627998,4,8.101707131398417
